Code	Barrio	Foreign born	Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families
0600000US7200100401	Adjuntas barrio-pueblo, Adjuntas Municipio, Puerto Rico	2.8	47.1
0600000US7200113645	Capáez barrio, Adjuntas Municipio, Puerto Rico	0.3	52.3
0600000US7200130458	Garzas barrio, Adjuntas Municipio, Puerto Rico	0	52.4
0600000US7200132049	Guayabo Dulce barrio, Adjuntas Municipio, Puerto Rico	0	18.2
0600000US7200132608	Guayo barrio, Adjuntas Municipio, Puerto Rico	0	37.3
0600000US7200132780	Guilarte barrio, Adjuntas Municipio, Puerto Rico	0	71
0600000US7200139273	Juan González barrio, Adjuntas Municipio, Puerto Rico	0	44.2
0600000US7200145422	Limaní barrio, Adjuntas Municipio, Puerto Rico	0	12.8
0600000US7200160773	Pellejas barrio, Adjuntas Municipio, Puerto Rico	0	73.6
0600000US7200163955	Portillo barrio, Adjuntas Municipio, Puerto Rico	0	73.5
0600000US7200163998	Portugués barrio, Adjuntas Municipio, Puerto Rico	0	54.7
0600000US7200174963	Saltillo barrio, Adjuntas Municipio, Puerto Rico	0	50.6
0600000US7200181714	Tanamá barrio, Adjuntas Municipio, Puerto Rico	1	79.5
0600000US7200185584	Vegas Abajo barrio, Adjuntas Municipio, Puerto Rico	0	85.2
0600000US7200185627	Vegas Arriba barrio, Adjuntas Municipio, Puerto Rico	0	50.5
0600000US7200187949	Yahuecas barrio, Adjuntas Municipio, Puerto Rico	0.7	50.2
0600000US7200188250	Yayales barrio, Adjuntas Municipio, Puerto Rico	0	30.8
0600000US7200300000	Municipio subdivision not defined, Aguada Municipio, Puerto Rico	0	-
0600000US7200300659	Aguada barrio-pueblo, Aguada Municipio, Puerto Rico	-	66.2
0600000US7200304185	Asomante barrio, Aguada Municipio, Puerto Rico	0.5	47.8
0600000US7200304400	Atalaya barrio, Aguada Municipio, Puerto Rico	1	65.8
0600000US7200314591	Carrizal barrio, Aguada Municipio, Puerto Rico	0.3	42.4
0600000US7200317085	Cerro Gordo barrio, Aguada Municipio, Puerto Rico	3.9	80.7
0600000US7200321772	Cruces barrio, Aguada Municipio, Puerto Rico	0	42.6
0600000US7200327233	Espinar barrio, Aguada Municipio, Puerto Rico	3.9	45.4
0600000US7200330931	Guanábano barrio, Aguada Municipio, Puerto Rico	0	70.6
0600000US7200331318	Guaniquilla barrio, Aguada Municipio, Puerto Rico	0	40.1
0600000US7200331963	Guayabo barrio, Aguada Municipio, Puerto Rico	1.1	39
0600000US7200337596	Jagüey barrio, Aguada Municipio, Puerto Rico	0.4	56.9
0600000US7200340907	Lagunas barrio, Aguada Municipio, Puerto Rico	0	50.9
0600000US7200349421	Mal Paso barrio, Aguada Municipio, Puerto Rico	0.5	48.3
0600000US7200349550	Mamey barrio, Aguada Municipio, Puerto Rico	1	47.8
0600000US7200351098	Marías barrio, Aguada Municipio, Puerto Rico	0	55.2
0600000US7200356215	Naranjo barrio, Aguada Municipio, Puerto Rico	0.7	72.1
0600000US7200361719	Piedras Blancas barrio, Aguada Municipio, Puerto Rico	0	33
0600000US7200370921	Río Grande barrio, Aguada Municipio, Puerto Rico	0.2	52.5
0600000US7200500000	Municipio subdivision not defined, Aguadilla Municipio, Puerto Rico	0	-
0600000US7200500530	Aguacate barrio, Aguadilla Municipio, Puerto Rico	-	27.6
0600000US7200500788	Aguadilla barrio-pueblo, Aguadilla Municipio, Puerto Rico	0	72.3
0600000US7200503626	Arenales barrio, Aguadilla Municipio, Puerto Rico	0.3	46.7
0600000US7200508313	Borinquen barrio, Aguadilla Municipio, Puerto Rico	1.9	46.5
0600000US7200510592	Caimital Alto barrio, Aguadilla Municipio, Puerto Rico	1.8	41.2
0600000US7200510635	Caimital Bajo barrio, Aguadilla Municipio, Puerto Rico	0.7	63.3
0600000US7200511237	Camaceyes barrio, Aguadilla Municipio, Puerto Rico	0.2	46.2
0600000US7200516225	Ceiba Alta barrio, Aguadilla Municipio, Puerto Rico	0.2	48.8
0600000US7200516268	Ceiba Baja barrio, Aguadilla Municipio, Puerto Rico	2.3	27.9
0600000US7200520955	Corrales barrio, Aguadilla Municipio, Puerto Rico	0	52.7
0600000US7200532694	Guerrero barrio, Aguadilla Municipio, Puerto Rico	1.4	54.1
0600000US7200549292	Maleza Alta barrio, Aguadilla Municipio, Puerto Rico	1.2	35.8
0600000US7200549335	Maleza Baja barrio, Aguadilla Municipio, Puerto Rico	7.8	10.7
0600000US7200554108	Montaña barrio, Aguadilla Municipio, Puerto Rico	5.3	56.3
0600000US7200557935	Palmar barrio, Aguadilla Municipio, Puerto Rico	2.3	34.4
0600000US7200585842	Victoria barrio, Aguadilla Municipio, Puerto Rico	0	52.4
0600000US7200700917	Aguas Buenas barrio-pueblo, Aguas Buenas Municipio, Puerto Rico	2.6	56.6
0600000US7200704529	Bairoa barrio, Aguas Buenas Municipio, Puerto Rico	0	65.8
0600000US7200706894	Bayamoncito barrio, Aguas Buenas Municipio, Puerto Rico	0	48.3
0600000US7200710506	Cagüitas barrio, Aguas Buenas Municipio, Puerto Rico	0	66.6
0600000US7200737682	Jagüeyes barrio, Aguas Buenas Municipio, Puerto Rico	0	38.7
0600000US7200739230	Juan Asencio barrio, Aguas Buenas Municipio, Puerto Rico	2.3	66.6
0600000US7200755441	Mula barrio, Aguas Buenas Municipio, Puerto Rico	0.5	43.5
0600000US7200755527	Mulita barrio, Aguas Buenas Municipio, Puerto Rico	0	57.6
0600000US7200780467	Sonadora barrio, Aguas Buenas Municipio, Puerto Rico	0	39.9
0600000US7200780811	Sumidero barrio, Aguas Buenas Municipio, Puerto Rico	2.2	51.9
0600000US7200901261	Aibonito barrio-pueblo, Aibonito Municipio, Puerto Rico	0.4	44.8
0600000US7200901605	Algarrobo barrio, Aibonito Municipio, Puerto Rico	1.9	82.4
0600000US7200904271	Asomante barrio, Aibonito Municipio, Puerto Rico	0	49.7
0600000US7200913344	Caonillas barrio, Aibonito Municipio, Puerto Rico	0	44.2
0600000US7200922890	Cuyón barrio, Aibonito Municipio, Puerto Rico	2.5	58.1
0600000US7200945895	Llanos barrio, Aibonito Municipio, Puerto Rico	0	46.7
0600000US7200960042	Pasto barrio, Aibonito Municipio, Puerto Rico	0.5	50.8
0600000US7200962536	Plata barrio, Aibonito Municipio, Puerto Rico	0.5	32.5
0600000US7200971867	Robles barrio, Aibonito Municipio, Puerto Rico	0	46.2
0600000US7201100000	Municipio subdivision not defined, Añasco Municipio, Puerto Rico	1.6	-
0600000US7201102637	Añasco barrio-pueblo, Añasco Municipio, Puerto Rico	-	70.8
0600000US7201102723	Añasco Abajo barrio, Añasco Municipio, Puerto Rico	0.1	-
0600000US7201102766	Añasco Arriba barrio, Añasco Municipio, Puerto Rico	-	18.6
0600000US7201110248	Caguabo barrio, Añasco Municipio, Puerto Rico	0.8	62.4
0600000US7201113989	Caracol barrio, Añasco Municipio, Puerto Rico	0.8	28.5
0600000US7201114462	Carreras barrio, Añasco Municipio, Puerto Rico	0	30.6
0600000US7201114978	Casey Abajo barrio, Añasco Municipio, Puerto Rico	0.4	45.7
0600000US7201115021	Casey Arriba barrio, Añasco Municipio, Puerto Rico	4.9	85.1
0600000US7201117128	Cerro Gordo barrio, Añasco Municipio, Puerto Rico	0	50.4
0600000US7201118031	Cidra barrio, Añasco Municipio, Puerto Rico	0	64
0600000US7201120439	Corcovada barrio, Añasco Municipio, Puerto Rico	0	56.9
0600000US7201123148	Dagüey barrio, Añasco Municipio, Puerto Rico	0	55.4
0600000US7201127276	Espino barrio, Añasco Municipio, Puerto Rico	1.1	31.3
0600000US7201133253	Hatillo barrio, Añasco Municipio, Puerto Rico	0	48.9
0600000US7201135661	Humatas barrio, Añasco Municipio, Puerto Rico	0.5	67
0600000US7201151141	Marías barrio, Añasco Municipio, Puerto Rico	0	50.6
0600000US7201153463	Miraflores barrio, Añasco Municipio, Puerto Rico	1.2	69.5
0600000US7201157591	Ovejas barrio, Añasco Municipio, Puerto Rico	2.4	57.6
0600000US7201161934	Piñales barrio, Añasco Municipio, Puerto Rico	0	50.8
0600000US7201162665	Playa barrio, Añasco Municipio, Puerto Rico	0.5	54.6
0600000US7201167567	Quebrada Larga barrio, Añasco Municipio, Puerto Rico	0	42.6
